"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"1132000209","2025","1132052200","003","서원아파트제2경로당","641-1","104","50","2","3","N","2025-04-29 21:14:24.000","2025-07-17 15:39:09.000","","서울특별시 도봉구 마들로 684-20 (서원아파트)","N","","N","","","127.047797","37.670992","","0900","1800","","","001"
"1132000210","2025","1132052200","003","도봉주공아파트경로당","649","52","40","1","2","N","2025-04-29 21:16:14.000","2025-07-17 15:53:59.000","","서울특별시 도봉구 도봉로180길 83-14 (주공아파트 101동)","N","","N","","","127.050634","37.683319","","0900","1800","","","001"
"1132000211","2025","1132052200","003","래미안도봉아파트경로당","655","74","50","2","2","N","2025-04-29 21:18:35.000","2025-07-17 15:41:44.000","","서울특별시 도봉구 도봉로170길 40 (래미안도봉아파트 101동)","N","","N","","","127.047112","37.679932","","0900","1800","","","001"
"1132000212","2025","1132052200","003","도봉한신아파트경로당","30-1","310","100","5","3","N","2025-04-29 21:21:45.000","2025-07-17 15:59:14.000","","서울특별시 도봉구 마들로 859-19 (도봉한신아파트 경로회관)","N","","N","","","127.047456","37.685245","","0900","1800","","","001"
"1132000213","2025","1132052200","003","도봉극동아파트경로당","81-1","59","40","2","1","N","2025-04-29 21:24:36.000","2025-07-17 15:58:20.000","","서울특별시 도봉구 도봉로180길 77 (극동아파트)","N","","N","","","127.049469","37.68235","","0900","1800","","","001"
"1132000214","2025","1132052200","003","서원아파트경로당","641","268","100","2","1","N","2025-04-29 21:27:41.000","2025-07-17 15:40:40.000","","서울특별시 도봉구 마들로 684-19 (서원아파트)","N","","N","","","127.047988","37.672317","","0900","1800","","","001"
"4427000509","2025","4427052000","003","양우내안애아파트경로당","1152-0","82.81","20","2","1","N","2025-04-29 23:24:52.000","2025-07-22 21:56:52.000","","충청남도 당진시 백암로 99  (채운동, 양우내안애 에코하임)","N","","N","","","126.6213745","36.8876186","","0900","1800","","","001"
"4427000510","2025","4427053000","003","부경2차아파트(원당6통)경로당","1172-0","148","37","2","1","N","2025-04-29 23:31:02.000","2025-07-22 21:57:35.000","","충청남도 당진시 밤절로 51  (원당동, 파크빌2차아파트)","N","","N","","","126.6407266","36.9024881","","0900","1800","","","001"
"1132000215","2025","1132052200","003","서광아파트경로당","643","66","40","2","1","N","2025-04-30 09:44:11.000","2025-07-17 15:36:48.000","","서울특별시 도봉구 마들로 770 (서광아파트 경비실)","N","","N","","","127.049487","37.677354","","0900","1800","","","001"
"1132000216","2025","1132052200","003","동아에코빌아파트경로당","654","90","50","2","2","N","2025-04-30 09:46:02.000","2025-07-17 15:35:20.000","","서울특별시 도봉구 도봉로180길 6-23 (동아에코빌아파트 102동)","N","","N","","","127.047639","37.681854","","0900","1800","","","001"
"1132000217","2025","1132052200","003","도봉파크빌2단지아파트경로당","647","49","40","2","2","N","2025-04-30 09:47:47.000","2025-07-17 15:32:11.000","","서울특별시 도봉구 마들로 835 (도봉파크빌2단지 202동)","N","","N","","","127.050926","37.684473","","0900","1800","","","001"
"1132000218","2025","1132052200","003","도봉파크빌3단지아파트경로당","644","58","40","1","1","N","2025-04-30 09:54:50.000","2025-07-17 15:31:08.000","","서울특별시 도봉구 마들로 891 (도봉파크빌3단지아파트 303동)","N","","N","","","127.048965","37.687727","","0900","1800","","","001"
